Valeurs lues      : 67584
Timestamps lus    : 68096
Date: 2026-05-04 14:37:41 | Valeur: -10526
Date: 2026-05-04 14:37:41 | Valeur: -11364
Date: 2026-05-04 14:37:41 | Valeur: -13731
Date: 2026-05-04 14:37:41 | Valeur: -13188
Date: 2026-05-04 14:37:41 | Valeur: -11251
Date: 2026-05-04 14:37:41 | Valeur: -11087
Date: 2026-05-04 14:37:41 | Valeur: -13778
Date: 2026-05-04 14:37:41 | Valeur: -14569
Date: 2026-05-04 14:37:41 | Valeur: -15311
Date: 2026-05-04 14:37:41 | Valeur: -13354
Date: 2026-05-04 14:37:41 | Valeur: -9839
Date: 2026-05-04 14:37:41 | Valeur: -10604
Date: 2026-05-04 14:37:41 | Valeur: -10428
Date: 2026-05-04 14:37:41 | Valeur: -12924
Date: 2026-05-04 14:37:41 | Valeur: -11009
Date: 2026-05-04 14:37:41 | Valeur: -12950
Date: 2026-05-04 14:37:41 | Valeur: -15467
Date: 2026-05-04 14:37:41 | Valeur: -15009
Date: 2026-05-04 14:37:41 | Valeur: -14943
Date: 2026-05-04 14:37:41 | Valeur: -12025
Date: 2026-05-04 14:37:41 | Valeur: -13773
Date: 2026-05-04 14:37:41 | Valeur: -13039
Date: 2026-05-04 14:37:41 | Valeur: -14868
Date: 2026-05-04 14:37:41 | Valeur: -11433
Date: 2026-05-04 14:37:41 | Valeur: -12347
Date: 2026-05-04 14:37:41 | Valeur: -12928
Date: 2026-05-04 14:37:41 | Valeur: -13041
Date: 2026-05-04 14:37:41 | Valeur: -11404
Date: 2026-05-04 14:37:41 | Valeur: -13408
Date: 2026-05-04 14:37:41 | Valeur: -11490
Date: 2026-05-04 14:37:41 | Valeur: -12609
Date: 2026-05-04 14:37:41 | Valeur: -10670
Date: 2026-05-04 14:37:41 | Valeur: -12534
Date: 2026-05-04 14:37:41 | Valeur: -13637
Date: 2026-05-04 14:37:41 | Valeur: -12803
Date: 2026-05-04 14:37:41 | Valeur: -13641
Date: 2026-05-04 14:37:41 | Valeur: -11911
Date: 2026-05-04 14:37:41 | Valeur: -10671
Date: 2026-05-04 14:37:41 | Valeur: -10678
Date: 2026-05-04 14:37:41 | Valeur: -11906
